series_id,date,value
CES0000000001,2015-01-01,140568.0
CES0000000001,2015-02-01,140827.0
CES0000000001,2015-03-01,140923.0
CES0000000001,2015-04-01,141196.0
CES0000000001,2015-05-01,141538.0
CES0000000001,2015-06-01,141709.0
CES0000000001,2015-07-01,141991.0
CES0000000001,2015-08-01,142125.0
CES0000000001,2015-09-01,142275.0
CES0000000001,2015-10-01,142579.0
CES0000000001,2015-11-01,142808.0
CES0000000001,2015-12-01,143077.0
CES0000000001,2016-01-01,143210.0
CES0000000001,2016-02-01,143407.0
CES0000000001,2016-03-01,143662.0
CES0000000001,2016-04-01,143855.0
CES0000000001,2016-05-01,143900.0
CES0000000001,2016-06-01,144146.0
CES0000000001,2016-07-01,144520.0
CES0000000001,2016-08-01,144662.0
CES0000000001,2016-09-01,144967.0
CES0000000001,2016-10-01,145066.0
CES0000000001,2016-11-01,145183.0
CES0000000001,2016-12-01,145408.0
CES0000000001,2017-01-01,145628.0
CES0000000001,2017-02-01,145848.0
CES0000000001,2017-03-01,145969.0
CES0000000001,2017-04-01,146174.0
CES0000000001,2017-05-01,146380.0
CES0000000001,2017-06-01,146583.0
CES0000000001,2017-07-01,146772.0
CES0000000001,2017-08-01,146919.0
CES0000000001,2017-09-01,147007.0
CES0000000001,2017-10-01,147150.0
CES0000000001,2017-11-01,147373.0
CES0000000001,2017-12-01,147523.0
CES0000000001,2018-01-01,147660.0
CES0000000001,2018-02-01,148054.0
CES0000000001,2018-03-01,148280.0
CES0000000001,2018-04-01,148422.0
CES0000000001,2018-05-01,148740.0
CES0000000001,2018-06-01,148959.0
CES0000000001,2018-07-01,149020.0
CES0000000001,2018-08-01,149279.0
CES0000000001,2018-09-01,149358.0
CES0000000001,2018-10-01,149526.0
CES0000000001,2018-11-01,149617.0
CES0000000001,2018-12-01,149809.0
CES0000000001,2019-01-01,150059.0
CES0000000001,2019-02-01,150065.0
CES0000000001,2019-03-01,150295.0
CES0000000001,2019-04-01,150593.0
CES0000000001,2019-05-01,150621.0
CES0000000001,2019-06-01,150839.0
CES0000000001,2019-07-01,150936.0
CES0000000001,2019-08-01,151171.0
CES0000000001,2019-09-01,151365.0
CES0000000001,2019-10-01,151460.0
CES0000000001,2019-11-01,151668.0
CES0000000001,2019-12-01,151795.0
CES0000000001,2020-01-01,152031.0
CES0000000001,2020-02-01,152292.0
CES0000000001,2020-03-01,150895.0
CES0000000001,2020-04-01,130424.0
CES0000000001,2020-05-01,133040.0
CES0000000001,2020-06-01,137671.0
CES0000000001,2020-07-01,139255.0
CES0000000001,2020-08-01,140819.0
CES0000000001,2020-09-01,141770.0
CES0000000001,2020-10-01,142461.0
CES0000000001,2020-11-01,142731.0
CES0000000001,2020-12-01,142548.0
CES0000000001,2021-01-01,142913.0
CES0000000001,2021-02-01,143422.0
CES0000000001,2021-03-01,144246.0
CES0000000001,2021-04-01,144611.0
CES0000000001,2021-05-01,145032.0
CES0000000001,2021-06-01,145828.0
CES0000000001,2021-07-01,146759.0
CES0000000001,2021-08-01,147246.0
CES0000000001,2021-09-01,147712.0
CES0000000001,2021-10-01,148569.0
CES0000000001,2021-11-01,149206.0
CES0000000001,2021-12-01,149781.0
CES0000000001,2022-01-01,150006.0
CES0000000001,2022-02-01,150875.0
CES0000000001,2022-03-01,151346.0
CES0000000001,2022-04-01,151651.0
CES0000000001,2022-05-01,151892.0
CES0000000001,2022-06-01,152353.0
CES0000000001,2022-07-01,153049.0
CES0000000001,2022-08-01,153286.0
